protein	IPR	GO	Pfam	Interproscan_annotation	
TAE62552.1	IPR019831	GO:0004784|GO:0006801|GO:0046872|GO:0055114	PF00081	"Manganese/iron superoxide dismutase, N-terminal"	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505|Reactome: R-HSA-9615017
TAE62552.1	IPR019832	GO:0004784|GO:0006801|GO:0046872|GO:0055114	PF02777	"Manganese/iron superoxide dismutase, C-terminal"	MetaCyc: PWY-6854|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-8862803|Reactome: R-HSA-8950505|Reactome: R-HSA-9615017
custom_1271724_4	IPR035077	GO:0004611|GO:0006094	PF00821	"Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain"	KEGG: 00010+4.1.1.32|KEGG: 00020+4.1.1.32|KEGG: 00620+4.1.1.32|MetaCyc: PWY-7383|Reactome: R-HSA-70263
custom_1271724_4	IPR035078	GO:0004611|GO:0006094	PF17297	"Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal"	KEGG: 00010+4.1.1.32|KEGG: 00020+4.1.1.32|KEGG: 00620+4.1.1.32|MetaCyc: PWY-7383|Reactome: R-HSA-70263
custom_2513647_5	IPR000529	GO:0003735|GO:0005840|GO:0006412|GO:0019843	PF01250	Ribosomal protein S6	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
PZO13723.1	IPR032317	-	PF16576	"RND efflux pump, membrane fusion protein, barrel-sandwich domain"	
custom_384822_2	IPR018445	-	PF01865	Putative phosphate transport regulator	
WP_122518534.1	IPR009291	-	PF06101	Vacuolar protein sorting-associated protein 62	
custom_668039_4	IPR000811	GO:0005975|GO:0008184	PF00343	"Glycosyl transferase, family 35"	KEGG: 00500+2.4.1.1|MetaCyc: PWY-5941|MetaCyc: PWY-6731|MetaCyc: PWY-6737|MetaCyc: PWY-7238|Reactome: R-HSA-70221
custom_913827_5	IPR009056	GO:0009055|GO:0020037	PF13442	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
custom_998907_20	IPR005324	GO:0003735|GO:0005840|GO:0006412	PF03719	"Ribosomal protein S5, C-terminal"	
custom_998907_20	IPR013810	GO:0003723|GO:0003735|GO:0005840|GO:0006412	PF00333	"Ribosomal protein S5, N-terminal"	
OFW21409.1	-	-	PF13535	-	
OFW21409.1	IPR040570	-	PF18603	"L-amino acid ligase, C-terminal domain 2"	
OFW21409.1	IPR041472	-	PF18130	"BL00235/CARNS1, N-terminal"	Reactome: R-HSA-70921
WP_052231550.1	IPR013539	GO:0004018|GO:0006188	PF08328	"Adenylosuccinate lyase PurB, C-terminal"	KEGG: 00230+4.3.2.2|KEGG: 00250+4.3.2.2|MetaCyc: PWY-6123|MetaCyc: PWY-6124|MetaCyc: PWY-7219|MetaCyc: PWY-7234
WP_052231550.1	IPR022761	-	PF00206	"Fumarate lyase, N-terminal"	
custom_728260_5	IPR005170	-	PF03471	Transporter-associated domain	
custom_728260_5	IPR002550	-	PF01595	"CNNM, transmembrane domain"	
custom_728260_5	IPR000644	-	PF00571	CBS domain	
custom_728260_5	IPR000644	-	PF00571	CBS domain	
custom_1099080_8	IPR007348	GO:0005507|GO:0042597|GO:0046688	PF04234	CopC domain	
custom_1110425_6	-	-	PF00406	-	
custom_1110425_6	IPR007862	GO:0004017	PF05191	"Adenylate kinase, active site lid domain"	KEGG: 00230+2.7.4.3|KEGG: 00730+2.7.4.3|MetaCyc: PWY-7219
OGK20508.1	IPR013126	-	PF00012	Heat shock protein 70 family	Reactome: R-HSA-3371453
custom_258783_2	IPR004154	-	PF03129	Anticodon-binding	
custom_258783_2	IPR002314	GO:0000166|GO:0004812|GO:0005524|GO:0006418	PF00587	"Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)"""	
custom_258783_2	IPR004095	-	PF02824	TGS	KEGG: 00970+6.1.1.3
custom_258783_2	IPR012947	GO:0004812|GO:0005524|GO:0043039	PF07973	"Threonyl/alanyl tRNA synthetase, SAD"	
WP_054537020.1	IPR005482	-	PF02785	"Biotin carboxylase, C-terminal"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
WP_054537020.1	IPR005481	-	PF00289	"Biotin carboxylase-like, N-terminal domain"	Reactome: R-HSA-196780|Reactome: R-HSA-3371599
WP_054537020.1	IPR005479	GO:0005524	PF02786	"Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain"	
custom_1699727_8	IPR041114	-	PF18764	"Nitrous oxide reductase, propeller repeat 1"	KEGG: 00910+1.7.2.4|MetaCyc: PWY-6748|MetaCyc: PWY-7084
custom_1699727_8	IPR028096	-	PF13473	EfeO-type cupredoxin-like domain	
custom_983960_2	IPR006062	GO:0000105	PF00977	Histidine biosynthesis protein	
custom_461493_15	IPR020040	GO:0003735|GO:0005840|GO:0006412|GO:0019843	PF00347	"Ribosomal protein L6, alpha-beta domain"	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
custom_461493_15	IPR020040	GO:0003735|GO:0005840|GO:0006412|GO:0019843	PF00347	"Ribosomal protein L6, alpha-beta domain"	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957
custom_195165_1	IPR015933	GO:0003994|GO:0006099	PF11791	"Aconitase B, HEAT-like domain"	KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00640+4.2.1.99|KEGG: 00720+4.2.1.3|MetaCyc: PWY-5747
custom_195165_1	IPR001030	-	PF00330	"Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain"	KEGG: 00290+4.2.1.33
custom_195165_1	IPR015929	GO:0003994|GO:0006099	PF06434	"Aconitase B, swivel"	KEGG: 00020+4.2.1.3|KEGG: 00630+4.2.1.3|KEGG: 00640+4.2.1.99|KEGG: 00720+4.2.1.3|MetaCyc: PWY-5747
custom_454475_181	IPR006665	-	PF00691	OmpA-like domain	
RLJ67726.1	IPR000297	GO:0003755	PF00639	"Peptidyl-prolyl cis-trans isomerase, PpiC-type"	
RLJ67726.1	IPR015391	-	PF09312	SurA N-terminal	
RLJ67726.1	-	-	PF13616	-	
ETW99713.1	IPR023801	-	PF00850	Histone deacetylase domain	Reactome: R-HSA-2122947|Reactome: R-HSA-2644606|Reactome: R-HSA-2894862|Reactome: R-HSA-350054
WP_055400550.1	IPR005814	GO:0008483|GO:0030170	PF00202	Aminotransferase class-III	
WP_076096509.1	IPR009056	GO:0009055|GO:0020037	PF13442	Cytochrome c-like domain	Reactome: R-HSA-111457|Reactome: R-HSA-111458|Reactome: R-HSA-111459|Reactome: R-HSA-111463|Reactome: R-HSA-111464|Reactome: R-HSA-2151201|Reactome: R-HSA-3299685|Reactome: R-HSA-5628897|Reactome: R-HSA-611105|Reactome: R-HSA-9627069
WP_076096509.1	-	-	PF02239	-	
WP_044542863.1	IPR028081	-	PF13458	Leucine-binding protein domain	
custom_2545103_2	IPR006047	GO:0003824|GO:0005975	PF00128	"Glycosyl hydrolase, family 13, catalytic domain"	
custom_627515_44	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
custom_627515_44	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
SIQ48018.1	IPR008869	-	PF05494	Toluene tolerance Ttg2/phospholipid-binding protein MlaC	
custom_1179269_19	IPR017932	-	PF13537	Glutamine amidotransferase type 2 domain	
custom_1179269_19	IPR000836	GO:0009116	PF00156	Phosphoribosyltransferase domain	
PKO85499.1	IPR001107	-	PF01145	Band 7 domain	
custom_1970371_102	IPR000194	GO:0005524	PF00006	"ATPase, F1/V1/A1 complex, alpha/beta subunit, nucleotide-binding domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
custom_1970371_102	IPR004100	GO:0046034|GO:1902600	PF02874	"ATPase, F1/V1/A1 complex, alpha/beta subunit, N-terminal domain"	KEGG: 00190+7.1.2.2|KEGG: 00195+7.1.2.2|MetaCyc: PWY-7980
custom_262465_30	IPR008279	GO:0016310|GO:0016772	PF00391	"PEP-utilising enzyme, mobile domain"	
custom_262465_30	IPR002192	GO:0005524|GO:0016301|GO:0016310	PF01326	"Pyruvate phosphate dikinase, PEP/pyruvate-binding"	
custom_262465_30	IPR000121	GO:0016310|GO:0016772	PF02896	"PEP-utilising enzyme, C-terminal"	
custom_895874_2	IPR002677	GO:0003735|GO:0006412|GO:0015934	PF01783	Ribosomal protein L32p	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
WP_093011122.1	IPR034733	-	PF01039	Acetyl-CoA carboxylase	MetaCyc: PWY-4381|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6722|Reactome: R-HSA-196780
WP_010397614.1	IPR001865	GO:0003735|GO:0005840|GO:0006412	PF00318	Ribosomal protein S2	
custom_1447722_2	IPR022628	GO:0004478|GO:0006556	PF00438	"S-adenosylmethionine synthetase, N-terminal"	KEGG: 00270+2.5.1.6|MetaCyc: PWY-5041|MetaCyc: PWY-5912|Reactome: R-HSA-156581
custom_1447722_2	IPR022629	GO:0004478|GO:0006556	PF02772	"S-adenosylmethionine synthetase, central domain"	KEGG: 00270+2.5.1.6|MetaCyc: PWY-5041|MetaCyc: PWY-5912|Reactome: R-HSA-156581
custom_1447722_2	IPR022630	GO:0004478|GO:0006556	PF02773	"S-adenosylmethionine synthetase, C-terminal"	KEGG: 00270+2.5.1.6|MetaCyc: PWY-5041|MetaCyc: PWY-5912|Reactome: R-HSA-156581
custom_998907_8	IPR001063	GO:0003735|GO:0005840|GO:0006412	PF00237	Ribosomal protein L22/L17	
WP_109037238.1	IPR007813	-	PF05137	Fimbrial assembly PilN	
custom_1168793_2	IPR002305	GO:0000166|GO:0004812|GO:0005524|GO:0006418	PF00579	"Aminoacyl-tRNA synthetase, class Ic"	
custom_1168793_2	IPR002305	GO:0000166|GO:0004812|GO:0005524|GO:0006418	PF00579	"Aminoacyl-tRNA synthetase, class Ic"	
custom_959077_9	IPR023753	GO:0016491|GO:0055114	PF07992	FAD/NAD(P)-binding domain	
custom_959077_9	IPR028261	-	PF14691	Dihydroprymidine dehydrogenase domain II	Reactome: R-HSA-73621
custom_959077_9	IPR017896	-	PF00037	"4Fe-4S ferredoxin-type, iron-sulphur binding domain"	
RTL29508.1	IPR008707	-	PF05567	PilC beta-propeller domain	
WP_066101962.1	IPR013126	-	PF00012	Heat shock protein 70 family	Reactome: R-HSA-3371453
custom_1924931_1	IPR033900	GO:0015288|GO:0016020	PF13609	"Porin domain, Gram-negative type"	
custom_148584_10	IPR005618	GO:0019867	PF03922	"Outer membrane protein, OmpW"	
custom_195406_5	IPR002068	-	PF00011	Alpha crystallin/Hsp20 domain	
custom_381122_30	IPR005828	GO:0016021|GO:0022857|GO:0055085	PF00083	"Major facilitator,  sugar transporter-like"	
custom_381122_30	IPR005828	GO:0016021|GO:0022857|GO:0055085	PF00083	"Major facilitator,  sugar transporter-like"	
TAN44664.1	IPR035077	GO:0004611|GO:0006094	PF00821	"Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain"	KEGG: 00010+4.1.1.32|KEGG: 00020+4.1.1.32|KEGG: 00620+4.1.1.32|MetaCyc: PWY-7383|Reactome: R-HSA-70263
TAN44664.1	IPR035078	GO:0004611|GO:0006094	PF17297	"Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal"	KEGG: 00010+4.1.1.32|KEGG: 00020+4.1.1.32|KEGG: 00620+4.1.1.32|MetaCyc: PWY-7383|Reactome: R-HSA-70263
custom_2148052_16	IPR012947	GO:0004812|GO:0005524|GO:0043039	PF07973	"Threonyl/alanyl tRNA synthetase, SAD"	
custom_2148052_16	IPR018164	GO:0000166|GO:0004813|GO:0005524|GO:0006419	PF01411	"Alanyl-tRNA synthetase, class IIc, N-terminal"	KEGG: 00970+6.1.1.7
custom_2148052_16	IPR003156	GO:0003676	PF02272	DHHA1 domain	KEGG: 00970+6.1.1.7|Reactome: R-HSA-379716
custom_1874928_2	IPR033900	GO:0015288|GO:0016020	PF13609	"Porin domain, Gram-negative type"	
WP_037016151.1	IPR018389	GO:0055085	PF03480	TRAP transporter solute receptor DctP/TeaA	
custom_1219591_106	-	-	PF13715	-	
custom_1219591_106	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
custom_1219591_106	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
WP_058554051.1	IPR010269	-	PF05943	"Type VI secretion protein, EvpB/VC_A0108, tail sheath"	
custom_1553691_12	IPR013126	-	PF00012	Heat shock protein 70 family	Reactome: R-HSA-3371453
custom_546476_46	IPR013740	GO:0016491	PF08534	Redoxin	Reactome: R-HSA-3299685|Reactome: R-HSA-5628897
SBT05777.1	IPR004089	GO:0007165|GO:0016020	PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain	
SBT05777.1	IPR029095	-	PF13675	"NarX-like, N-terminal"	
SBT05777.1	IPR029095	-	PF13675	"NarX-like, N-terminal"	
custom_274178_40	IPR010123	-	PF09712	"Poly(R)-hydroxyalkanoic acid synthase, class III, PhaE subunit"	
WP_067954662.1	IPR003760	GO:0005886	PF02608	ABC transporter substrate-binding protein PnrA-like	
KJV10319.1	IPR001107	-	PF01145	Band 7 domain	
custom_1795726_11	-	-	PF13433	-	
custom_738724_15	IPR002146	GO:0015078|GO:0015986|GO:0045263	PF00430	"ATP synthase, F0 complex, subunit b/b', bacterial/chloroplast"	
custom_2332366_4	IPR000595	-	PF00027	Cyclic nucleotide-binding domain	
custom_2332366_4	IPR012318	GO:0003677|GO:0006355	PF13545	Crp-type HTH domain	
WP_079433201.1	IPR029479	-	PF00881	Nitroreductase	Reactome: R-HSA-209968
custom_111639_35	IPR000121	GO:0016310|GO:0016772	PF02896	"PEP-utilising enzyme, C-terminal"	
custom_111639_35	IPR002192	GO:0005524|GO:0016301|GO:0016310	PF01326	"Pyruvate phosphate dikinase, PEP/pyruvate-binding"	
custom_111639_35	IPR008279	GO:0016310|GO:0016772	PF00391	"PEP-utilising enzyme, mobile domain"	
custom_1548022_1	IPR000883	GO:0004129|GO:0009060|GO:0016021|GO:0020037|GO:0055114	PF00115	Cytochrome c oxidase subunit I	KEGG: 00190+1.9.3.1|MetaCyc: PWY-3781|MetaCyc: PWY-4521|MetaCyc: PWY-6692|MetaCyc: PWY-7279|Reactome: R-HSA-5628897|Reactome: R-HSA-611105
custom_196836_1	-	-	PF00702	-	
custom_196836_1	-	-	PF00122	-	
WP_091677804.1	IPR023631	-	PF01425	Amidase signature domain	KEGG: 00970+6.3.5.7
custom_194819_45	IPR032317	-	PF16576	"RND efflux pump, membrane fusion protein, barrel-sandwich domain"	
custom_2057606_13	IPR000774	GO:0006457	PF01346	"Peptidyl-prolyl cis-trans isomerase, FKBP-type, N-terminal"	
custom_2057606_13	IPR001179	GO:0003755	PF00254	FKBP-type peptidyl-prolyl cis-trans isomerase domain	
ODT00806.1	IPR020581	GO:0004375|GO:0006546|GO:0055114	PF02347	Glycine cleavage system P protein	KEGG: 00260+1.4.4.2|Reactome: R-HSA-6783984
ODT00806.1	IPR020581	GO:0004375|GO:0006546|GO:0055114	PF02347	Glycine cleavage system P protein	KEGG: 00260+1.4.4.2|Reactome: R-HSA-6783984
custom_2636145_36	IPR010279	GO:0043022	PF05957	Inner membrane protein YqjD/ElaB	
WP_036808116.1	IPR040686	-	PF17769	"Phosphoribosylaminoimidazole carboxylase, C-terminal domain"	
WP_036808116.1	IPR003135	-	PF02222	"ATP-grasp fold, ATP-dependent carboxylate-amine ligase-type"	
WP_110524174.1	IPR005474	-	PF00456	"Transketolase, N-terminal"	KEGG: 00730+2.2.1.7|KEGG: 00900+2.2.1.7|MetaCyc: PWY-6891|MetaCyc: PWY-6892|MetaCyc: PWY-7560
WP_110524174.1	IPR041621	-	PF17831	"Pyruvate dehydrogenase E1 component, middle domain"	KEGG: 00010+1.2.4.1|KEGG: 00020+1.2.4.1|KEGG: 00620+1.2.4.1
custom_1767224_2	IPR006698	-	PF04285	Uncharacterised protein family UPF0229	
custom_1051602_11	IPR013424	-	PF07589	PEP-CTERM protein-sorting domain	
WP_101253380.1	IPR013154	GO:0055114	PF08240	"Alcohol dehydrogenase, N-terminal"	
WP_101253380.1	IPR013149	GO:0055114	PF00107	"Alcohol dehydrogenase, C-terminal"	
OGA13314.1	IPR000456	GO:0003735|GO:0005840|GO:0006412	PF01196	Ribosomal protein L17	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276
custom_1260292_25	IPR007156	-	PF04011	MamQ/LemA	
custom_1732562_3	IPR002187	GO:0006808|GO:0030234	PF00543	Nitrogen regulatory protein PII	
custom_2098641_12	IPR001036	GO:0016020|GO:0022857|GO:0055085	PF00873	Acriflavin resistance protein	
custom_1314147_33	IPR024952	-	PF02169	Lipoprotein LPP20-like	
custom_907006_29	IPR002765	-	PF01906	Uncharacterised protein family UPF0145	
WP_010463004.1	IPR006657	GO:0016491|GO:0043546|GO:0055114	PF01568	Molybdopterin dinucleotide-binding domain	
WP_010463004.1	IPR006656	GO:0016491|GO:0055114	PF00384	Molybdopterin oxidoreductase	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
WP_010463004.1	IPR028189	-	PF14710	"Nitrate reductase, alpha subunit, N-terminal"	KEGG: 00910+1.7.5.1|MetaCyc: PWY-6748
WP_119388266.1	IPR006059	-	PF01547	Bacterial extracellular solute-binding protein	
WP_056184231.1	-	-	PF05187	-	
WP_056184231.1	-	-	PF13450	-	
WP_088813028.1	IPR000771	GO:0005975|GO:0008270|GO:0016832	PF01116	"Fructose-bisphosphate aldolase, class-II"	
custom_998907_3	IPR000597	GO:0003735|GO:0005840|GO:0006412	PF00297	Ribosomal protein L3	
BAB16757.1	IPR010810	-	PF07196	"Flagellin hook, IN motif"	
BAB16757.1	IPR010810	-	PF07196	"Flagellin hook, IN motif"	
BAB16757.1	IPR001029	GO:0005198|GO:0071973	PF00669	"Flagellin, D0/D1 domain"	
BAB16757.1	IPR001029	GO:0005198|GO:0071973	PF00700	"Flagellin, D0/D1 domain"	
WP_110283506.1	IPR023753	GO:0016491|GO:0055114	PF07992	FAD/NAD(P)-binding domain	
WP_110283506.1	IPR004099	GO:0045454|GO:0055114	PF02852	"Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"	
WP_110283506.1	IPR000089	-	PF00364	Biotin/lipoyl attachment	
WP_110283506.1	IPR000089	-	PF00364	Biotin/lipoyl attachment	
custom_443407_9	IPR008816	GO:0019867	PF05433	Glycine zipper 2TM domain	
custom_2513729_9	IPR033480	-	PF17200	Single Cache domain 2	
custom_1758877_29	IPR000531	-	PF00593	"TonB-dependent receptor-like, beta-barrel"	
custom_1758877_29	IPR012910	-	PF07715	"TonB-dependent receptor, plug domain"	
WP_054620220.1	IPR006176	GO:0003857|GO:0006631|GO:0016491|GO:0055114	PF02737	"3-hydroxyacyl-CoA dehydrogenase, NAD binding"	KEGG: 00062+4.2.1.17+1.1.1.35|KEGG: 00071+4.2.1.17+1.1.1.35|KEGG: 00280+4.2.1.17+1.1.1.35|KEGG: 00281+4.2.1.17+1.1.1.35|KEGG: 00310+4.2.1.17+1.1.1.35|KEGG: 00360+4.2.1.17|KEGG: 00362+4.2.1.17+1.1.1.35|KEGG: 00380+4.2.1.17+1.1.1.35|KEGG: 00410+4.2.1.17|KEGG: 00592+4.2.1.17|KEGG: 00623+1.1.1.35|KEGG: 00627+4.2.1.17|KEGG: 00640+4.2.1.17|KEGG: 00650+4.2.1.17+1.1.1.35|KEGG: 00720+4.2.1.17+1.1.1.35|KEGG: 00903+4.2.1.17|KEGG: 00930+4.2.1.17+1.1.1.35|MetaCyc: PWY-1361|MetaCyc: PWY-5109|MetaCyc: PWY-5136|MetaCyc: PWY-5138|MetaCyc: PWY-5177|MetaCyc: PWY-5789|MetaCyc: PWY-6435|MetaCyc: PWY-6583|MetaCyc: PWY-6863|MetaCyc: PWY-6883|MetaCyc: PWY-6944|MetaCyc: PWY-6945|MetaCyc: PWY-6946|MetaCyc: PWY-7007|MetaCyc: PWY-7046|MetaCyc: PWY-7094|MetaCyc: PWY-7216|MetaCyc: PWY-735|MetaCyc: PWY-7401|MetaCyc: PWY-7606|MetaCyc: PWY-7654|MetaCyc: PWY-7656|MetaCyc: PWY-7726|MetaCyc: PWY-7778|MetaCyc: PWY-7779|MetaCyc: PWY-8002
WP_054620220.1	IPR001753	GO:0003824	PF00378	Enoyl-CoA hydratase/isomerase	
WP_054620220.1	IPR006108	GO:0003857|GO:0006631|GO:0016491|GO:0055114	PF00725	"3-hydroxyacyl-CoA dehydrogenase, C-terminal"	KEGG: 00062+4.2.1.17+1.1.1.35|KEGG: 00071+4.2.1.17+1.1.1.35|KEGG: 00280+4.2.1.17+1.1.1.35|KEGG: 00281+4.2.1.17+1.1.1.35|KEGG: 00310+4.2.1.17+1.1.1.35|KEGG: 00360+4.2.1.17|KEGG: 00362+4.2.1.17+1.1.1.35|KEGG: 00380+4.2.1.17+1.1.1.35|KEGG: 00410+4.2.1.17|KEGG: 00592+4.2.1.17|KEGG: 00623+1.1.1.35|KEGG: 00627+4.2.1.17|KEGG: 00640+4.2.1.17|KEGG: 00650+4.2.1.17+1.1.1.35|KEGG: 00720+4.2.1.17+1.1.1.35|KEGG: 00903+4.2.1.17|KEGG: 00930+4.2.1.17+1.1.1.35|MetaCyc: PWY-1361|MetaCyc: PWY-5109|MetaCyc: PWY-5136|MetaCyc: PWY-5138|MetaCyc: PWY-5177|MetaCyc: PWY-5789|MetaCyc: PWY-6435|MetaCyc: PWY-6583|MetaCyc: PWY-6863|MetaCyc: PWY-6883|MetaCyc: PWY-6944|MetaCyc: PWY-6945|MetaCyc: PWY-6946|MetaCyc: PWY-7007|MetaCyc: PWY-7046|MetaCyc: PWY-7094|MetaCyc: PWY-7216|MetaCyc: PWY-735|MetaCyc: PWY-7401|MetaCyc: PWY-7606|MetaCyc: PWY-7654|MetaCyc: PWY-7656|MetaCyc: PWY-7726|MetaCyc: PWY-7778|MetaCyc: PWY-7779|MetaCyc: PWY-8002
custom_1558021_24	IPR007450	GO:0019867	PF04355	Lipoprotein SmpA/OmlA	
WP_054139051.1	IPR013751	GO:0004315|GO:0006633	PF08545	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	KEGG: 00061+2.3.1.180|MetaCyc: PWY-4381
WP_054139051.1	IPR013747	-	PF08541	"3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III, C-terminal"	KEGG: 00061+2.3.1.180|MetaCyc: PWY-4381
custom_2437637_31	IPR003468	-	PF02433	"Cytochrome c oxidase, monohaem subunit/FixO"	
custom_1349582_17	IPR015590	GO:0016491|GO:0055114	PF00171	Aldehyde dehydrogenase domain	
custom_1788646_34	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
custom_1788646_34	IPR003439	GO:0005524|GO:0016887	PF00005	ABC transporter-like	
custom_1788646_34	IPR032781	-	PF12848	ABC-transporter extension domain	
custom_2475933_15	IPR011545	GO:0003676|GO:0005524	PF00270	DEAD/DEAH box helicase domain	
custom_2475933_15	IPR001650	-	PF00271	"Helicase, C-terminal"	
custom_2475933_15	IPR005580	-	PF03880	"DEAD box helicase DbpA/CsdA, RNA-binding domain"	
WP_110524092.1	IPR006665	-	PF00691	OmpA-like domain	
custom_2054408_1	IPR007641	GO:0003677|GO:0003899|GO:0006351	PF04560	"RNA polymerase Rpb2, domain 7"	
custom_2054408_1	IPR007644	GO:0003677|GO:0003899|GO:0006351	PF04563	"RNA polymerase, beta subunit, protrusion"	
custom_2054408_1	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
custom_2054408_1	IPR007642	GO:0003677|GO:0003899|GO:0006351	PF04561	"RNA polymerase Rpb2, domain 2"	
custom_2054408_1	IPR007645	GO:0003677|GO:0003899|GO:0006351	PF04565	"RNA polymerase Rpb2, domain 3"	
custom_2054408_1	IPR007120	GO:0003677|GO:0003899|GO:0006351	PF00562	"DNA-directed RNA polymerase, subunit 2, hybrid-binding domain"	
custom_2054408_1	IPR019462	GO:0003899|GO:0006351	PF10385	"DNA-directed RNA polymerase, beta subunit, external 1 domain"	
WP_100118974.1	IPR025110	-	PF13193	"AMP-binding enzyme, C-terminal domain"	
WP_100118974.1	IPR032387	-	PF16177	"Acetyl-coenzyme A synthetase, N-terminal domain"	KEGG: 00010+6.2.1.1|KEGG: 00620+6.2.1.1|KEGG: 00630+6.2.1.1|KEGG: 00640+6.2.1.1|KEGG: 00680+6.2.1.1|KEGG: 00720+6.2.1.1|MetaCyc: PWY-5108|MetaCyc: PWY-5132|MetaCyc: PWY-5133|MetaCyc: PWY-6672|MetaCyc: PWY-7118|MetaCyc: PWY-7857
WP_100118974.1	IPR000873	GO:0003824	PF00501	AMP-dependent synthetase/ligase	
custom_92900_5	IPR025589	-	PF13342	Topoisomerase C-terminal repeat	
custom_92900_5	IPR025589	-	PF13342	Topoisomerase C-terminal repeat	
custom_92900_5	IPR013497	GO:0003677|GO:0003916|GO:0006265	PF01131	"DNA topoisomerase, type IA, central"	
custom_92900_5	IPR006171	-	PF01751	TOPRIM  domain	
custom_296089_11	IPR000644	-	PF00571	CBS domain	
custom_296089_11	IPR000644	-	PF00571	CBS domain	
custom_296089_11	IPR018821	-	PF10335	"Domain of unknown function DUF294, putative nucleotidyltransferase substrate-binding"	
custom_296089_11	IPR005105	GO:0008773	PF03445	"Protein-PII uridylyltransferase, N-terminal"	
WP_074907023.1	IPR001117	GO:0055114	PF00394	"Multicopper oxidase, type 1"	
WP_074907023.1	IPR011707	GO:0005507	PF07732	"Multicopper oxidase, type 3"	
RPJ44264.1	-	-	PF13561	-	
WP_009552028.1	IPR007379	-	PF04280	Tim44-like domain	
WP_027457213.1	IPR006656	GO:0016491|GO:0055114	PF00384	Molybdopterin oxidoreductase	Reactome: R-HSA-611105|Reactome: R-HSA-6799198
